;Capacidad de investigacion;Capacidad de desarrollo;Capacidad de difusion;Capacidad de mercadeo
UNIVALLE;0.75;0.5;;
CIAT;1.0;0.9444444444444444;;
CENICAÃ‘A;0.9523809523809523;0.9047619047619048;;
UAO;0.4375;0.3125;;
UNAL;0.9230769230769231;0.8461538461538461;;
UIS;0.36363636363636365;0.2727272727272727;;
UCESAR;0.16666666666666666;0.16666666666666666;;
ITM;0.2;0.0;;
UPB;0.36363636363636365;0.36363636363636365;;
UPAMPLONA;0.2857142857142857;0.0;;
ULIBRE;0.0;0.0;;
UDEA;0.7272727272727273;0.9090909090909091;;
SENA;0.23529411764705882;0.35294117647058826;;
BIOPACIFICO;0.6818181818181818;0.5909090909090909;;
CORPOICA-AGROSAVIA;0.8235294117647058;1.0;;
BIOTEC;0.35714285714285715;0.35714285714285715;;
ALEXANDER VON HUMBOLT;0.6470588235294118;0.4117647058823529;;
CORPOGEN;0.5555555555555556;0.8333333333333334;;
CENIPALMA;0.5555555555555556;0.6111111111111112;;
INCAUCA;0.2;0.13333333333333333;;
RIOPAILA;0.11764705882352941;0.0;;
MAYAGUEZ;0.0625;0.0625;;
PROVIDENCIA;0.0;0.2;;
RISARALDA;0.125;0.125;;
GPC;0.0;0.25;;
PROGEN;0.375;0.75;;
BIOENERGY;0.7857142857142857;0.7142857142857143;;
