;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
PROVIDENCIA;0.007436148051614687;0.021188875396143707;0.043090203638733095;0.027144598878322358;0.03152886564905639;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03688922516040959;0.028214137943723582;0.08048078450590077;0.0;0.05571330997981473;0.0;0.031476091364134484;0.02736597979319301;0.014107068971861788;0.009589841488665646;0.0;0.0;0.0;0.014800673859406793;0.006146947662808222;0.03630242537330177;0.01619542281805706;0.008384828649615548;0.05864730891535381;0.012521327363017972;0.023737119439515553;0.08112287163911724;0.08039408389495763;0.0;0.06139282826188611;0.046962830927526;0.029892862816477423;0.05474452489231981;0.039522067788344294;0.009888895769889756;0.005117849106831127
RISARALDA;0.0;0.0;0.046563151279889275;0.0;0.027533767122198002;0.0;0.0;0.0;0.07295733033178992;0.12255506382543295;0.0;0.007300698410678207;0.0;0.02207789108611611;0.0;0.0;0.0;0.0698716133445758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022858202655342656;0.07216936856674674;0.008120795067918442;0.014708942520323915;0.10916302082504734;0.10796347264425603;0.01818142768506292;0.07668835610990025;0.052937302130232115;0.024840988274973354;0.0;0.08901089764907523;0.0;0.03449771047044077
GPC;0.0;0.009689759167771995;0.0429101569439848;0.0584089113952847;0.02537367501977745;0.005970539054703944;0.0;0.089598495560354;0.05487979411985902;0.09218808638554707;0.0;0.006727940570856636;0.0;0.02034582594727893;0.0;0.0;0.0;0.06439001253422681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017194344282751434;0.06650750317848225;0.0061086056656700135;0.013554989614711733;0.10059891195777762;0.09949347129741025;0.016755049733257987;0.0706719649765904;0.04878423990131628;0.02289215133046999;0.0;0.06695557136191674;0.0;0.0
PROGEN;0.02078018773433553;0.007844105349235492;0.03473685834631942;0.06149673370620198;0.020540632280560994;0.0;0.0;0.0;0.0;0.0;0.09867132309274147;0.0;0.02712264514834987;0.016470461172912846;0.0806489438847145;0.0;0.05023683520281426;0.0;0.020475830466110193;0.015429003440667765;0.001957117152252732;0.014703197156507327;0.04176246908765368;0.0;0.0;0.0;0.02441787287602265;0.026402110687670673;0.0017126193819141221;0.01810333365833769;0.05383950750621017;0.006431540786569634;0.01097310724700292;0.08143736596053261;0.08054248376097388;0.013563636924691034;0.0;0.03949207720673321;0.018531776032586055;0.0;0.0704952180040596;0.013859367659702715;0.027321639085615017
BIOENERGY;0.001666553415392227;0.0;0.047756663709499915;0.05122578433053316;0.03281128556620177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039740639240727356;0.028526326589783938;0.09609158571907744;0.0;0.06407459315494858;0.0;0.032743064081361156;0.02742990986913115;0.010290073963459809;0.004450639725316475;0.023962185594278852;0.0;0.0;0.011186699192793642;0.0;0.03898208130214238;0.012989695577867104;0.0028929158214557097;0.06786738284787339;0.00824018077610602;0.022738870625804885;0.09692161378463829;0.09597950756541072;0.025466105698361944;0.0;0.052762821239947126;0.030696419536142626;0.0;0.06365751512331314;0.004837228139413307;0.0040116578090176715
ASOCAÑA;0.04583143886243966;0.02399601909360658;0.009707998518281242;0.06874217076059215;0.007579055249136296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000839251260280895;0.012841900141797927;0.06318465751652162;0.0;0.027761784729805346;0.0;0.007662845804667675;0.014188534069980878;0.03523991364062744;0.04241198619146845;0.05763792713945693;0.0;0.0;0.034138666339357825;0.04787832243327772;0.0;0.031924201657456984;0.04432520387610169;0.031958041031209763;0.0377576203330228;0.019950132269376936;0.06410298170068335;0.0630606567949812;0.01660050506134855;0.0;0.01524669741375379;0.01017656247060917;0.0;0.07380551433056001;0.04193717304345728;0.0495122382661397
PROCAÑA;0.029341685137046766;0.006480721871721651;0.03490522670919231;0.07767907032049895;0.019900414947312352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02685732473713736;0.01559841587896769;0.08343236328111509;0.03590326440055961;0.0;0.0;0.019831922164571462;0.014497639013489045;0.006995535891231072;0.022127275680025087;0.05425118056683343;0.0;0.0;0.004672108808222911;0.03366022895437713;0.026095750224280276;0.0;0.026163809326048303;0.05509592059288273;0.012307428968688097;0.009787944809781922;0.08426569213779596;0.08331983942375507;0.012526025338876194;0.0;0.039931292337940696;0.017777138682344668;0.0;0.08836178397389512;0.02112550820582955;0.03710748761557945
CIAMSA;0.0;0.0;0.04665582572815972;0.0;0.03111345597708087;0.005630118289353953;0.07492461546973553;0.0;0.03869854487108553;0.0;0.0;0.01458796926098433;0.0;0.0;0.09692148127460608;0.04768961882539483;0.06362557320336219;0.06569315939783242;0.0310425093919765;0.025517121775871846;0.007692636870602433;0.0016199470265497867;0.02307527387407325;0.008625077703402732;0.008625077703402732;0.008625077703402732;0.00615870864224853;0.037530743520211886;0.010500094595446806;0.0;0.06756986549428373;0.0055608609086568355;0.0;0.0;0.09680492617050605;0.023474873647510337;0.07126077712411824;0.05186195371129469;0.028914111838845395;0.0;0.0;0.0;0.0
TECNICAÑA;0.04461527318133777;0.0;0.013553383483613278;0.0;0.023625645936785546;0.04014017168056956;0.06750747537900524;0.0;0.05603948043721275;0.0681675747442115;0.0;0.03433501922005739;0.0;0.0;0.045334411730174676;0.0;0.0;0.001216202976358476;0.023671623006998918;0.027252361022902242;0.03880355256793797;0.042738970839773016;0.051093661312831454;0.038199282502276506;0.038199282502276506;0.038199282502276506;0.04573842732512157;0.019466910466771264;0.03698417421806596;0.04378878060964501;0.0;0.0;0.0;0.0466676233090259;0.04515438903166052;0.02857584382975859;0.005700718786281756;0.010179542283670134;0.02505093511340007;0.0;0.0;0.0;0.0
TERPEL;0.007797261736615553;0.0;0.034517624987627685;0.0;0.021462845823242514;5.817258403866399e-05;0.04808793073491169;0.04776810235629093;0.027904062696170757;0.04924971695363646;0.05012442830239442;0.007582299734210881;0.02751563225029035;0.01771993663558378;0.07673815140808302;0.03538595721766831;0.048771326920614685;0.05050799138069592;0.02140325439569071;0.016762217264215448;0.001790580513580484;0.004494937393507314;0.019199336102143312;0.0025737821328328096;0.0025737821328328096;0.0025737821328328096;0.009774032317729353;0.02685303232965477;0.004148698432416283;0.006342620616985027;0.0;0.0;0.012664597198272145;0.07746318044329666;0.07664025120567647;0.015046835456831286;0.05518449959999964;0.03889050069511981;0.0196155115691365;0.0;0.03481312634517085;0.0;0.0
FEDEPETROLEO;0.020947032570996768;0.003274538044706813;0.021960423698946758;0.03948983084782764;0.008841487297569716;0.01434628724221894;0.054712880495508015;0.054444846316306174;0.03779766325864975;0.05568652272477734;0.05641958005825707;0.005783725481331261;0.014924019923183724;0.005080183718955154;0.06438844135961153;0.02283302331612345;0.036284174931229526;0.03802937416558291;0.008781603010116417;0.004117757670598504;0.012374782827728303;0.018179498937551268;0.03050261252591536;0.011483488448695676;0.011483488448695676;0.011483488448695676;0.022603677558111747;0.014258163679357708;0.009691211708249643;0.0;0.0;0.01441248845515433;0.0;0.06511703352362669;0.06429006003022397;0.002393945681764157;0.04272886491429921;0.0263547897449248;0.006985074386517344;0.0;0.04358784739490154;0.0;0.0239260871530895
MINMINAS;0.0;0.0;0.02273515957726484;0.0;0.029646293556067994;0.0409778191733079;0.0;0.0;0.05188721053382708;0.0;0.0;0.036994584363005414;0.02644197907355802;0.031627770725515085;0.00038382669961616945;0.022275468892010243;0.015189321956239248;0.014269940585730057;0.029677840956036445;0.03213478251072236;0.04006069118851074;0.042760998400096145;0.048493611651506396;0.03964606821749679;0.03964606821749679;0.03964606821749679;0.04481909068375234;0.02679275611606439;0.03881231550404483;0.0;0.01343543674370742;0.04100861544470567;0.03430404182283882;0.0;0.0004356545709929106;0.03304289695267139;0.011794220816777204;0.020420181322436965;0.030624262955090024;0.0;0.05458075758827639;0.0;0.04543426498313717
MINCIENCIAS;0.02852191814087179;0.023145475413974426;0.014583447389321975;0.03416313040909375;0.019103196090115276;0.026513795905370976;0.03879438687589945;0.038712843751855144;0.033648328035609194;0.0390905947301086;0.03931361026213339;0.023908836948702477;0.017007636046904296;0.02039904404932544;0.005062733876293057;0.014282818522363436;0.009648614713724813;0.009047356979807738;0.019123827482945763;0.02073062000552971;0.025914011842370365;0.027679960823932356;0.03142897963541529;0.025642856393741094;0.025642856393741094;0.025642856393741094;0.029025913594302278;0.017237037486233772;0.025097598154649632;0.02815104429356183;0.008501607517077455;0.02653393607456264;0.022149273874445156;0.042556313742754565;0.0;0.021324509384864465;0.0074282838662532635;0.013069496134475224;0.019742769267860397;0.01002734813925591;0.0354098560044218;0.02756304959789293;0.02942822575449679
DNP;0.027738418976588897;0.007017903299632476;0.02290176613072419;0.049479341958239664;0.007546585035570555;0.019999225912413675;0.06732795061994319;0.0670136878878852;0.04749532181850002;0.0684695194598888;0.0;0.00995985682745251;0.014665941904598426;0.0031441322881501435;0.0;0.023923108466365316;0.03966713394747382;0.04170981861875608;0.0;0.0;0.0;0.0;0.0;0.016642672756155677;0.016642672756155677;0.016642672756155677;0.029680789838585905;0.013886584272663108;0.014541277379141368;0.026309091490421505;0.04356392210715034;0.020076845020934018;0.0031785971513576773;0.07341482138429553;0.07244688256947225;0.0;0.04721038126299326;0.028045192729492085;0.005373729282294825;0.0;0.054284154090548056;0.0;0.0
MADR;0.0;0.0;0.022849329201276608;0.0;0.03728271365692305;0.06094775418489633;0.0;0.0;0.0;0.0;0.0;0.05262906732821846;0.0;0.0;0.0;0.0;0.0;0.005170354870754336;0.03734859803331008;0.042479736013357854;0.0590324012427874;0.06467179012639232;0.07664392252129436;0.058166492295986305;0.058166492295986305;0.0;0.0;0.0;0.0;0.06617615005389639;0.0034275562477543223;0.0610120698856551;0.04701007122778095;0.04851507174372473;0.046723023494370505;0.04437626484792763;0.0;0.018014670914970523;0.0;0.0;0.08935646981273647;0.0;0.0
FEPALMA;0.0;0.0;0.003833903769575163;0.0;0.01527963660015957;0.03404611040541946;0.06514526492825502;0.0;0.05211347521700601;0.06589537653534581;0.0;0.02744935774803558;0.009972876872382904;0.0;0.051746422714164644;0.0;0.01350935661786102;0.015883775414567213;0.01533188317975793;0.019400896557525738;0.032527227698524175;0.036999286118907924;0.04649323601163916;0.031840558366659964;0.031840558366659964;0.031840558366659964;0.0404077534546107;0.01055380907886948;0.030459755905846063;0.0381922496864039;0.01803898724719839;0.03409711301883691;0.022993470888003697;0.052737703764096706;0.05161257067415426;0.020904851670250062;0.02227763518086099;0.0;0.0;0.0;0.056574337941761546;0.0;0.0
FEDEBIOCOMBUSTIBLES;0.0;0.0121597660503783;0.015733961129202882;0.0;0.0019504539074761604;0.024196652986634114;0.06808205088752302;0.0;0.04969231375113453;0.06914056668489246;0.0;0.014887682383897554;0.008341111641188389;0.0023452356638235007;0.0603112705952307;0.01665076434838523;0.03078331593297058;0.032616922371335275;0.001887536039493062;0.003530141407147507;0.0220532901531547;0.028364010371302525;0.04176134464248589;0.02108430056750307;0.02108430056750307;0.02108430056750307;0.03317384998123994;0.007641524870995316;0.0191357889007036;0.03004745423478062;0.034281249783935895;0.024268625039191565;0.008599782572658187;0.061076771322358434;0.06020790552640132;0.005652439249634493;0.0;0.0;0.0;0.02962832364213792;0.05598723522603804;0.027946221383286063;0.034611535616473066
ICA;0.0633626375013411;0.04494287475360728;0.015609255320715502;0.08268950414318442;0.031093973186581095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023914557208341486;0.0355335651581226;0.09382286250887518;0.0;0.003531756029408394;0.00913859050411123;0.031164656606901316;0.0366695486989833;0.05442791658514933;0.06047808077684445;0.07332226801217606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0935067909576052;0.0;0.0;0.0;0.03328515921650795;0.0;0.08696080225682065;0.06007754139502986;0.06646765917969366
BANCO AGRARIO;0.01185002809966013;0.021099675621467296;0.03582981324641923;0.0021448702978845665;0.02805402458966749;0.015304807365913914;0.024441031134822964;0.0;0.003030537781014208;0.0;0.028190547812545444;0.019786386242857123;0.03165923211164368;0.025824644035759108;0.06097753013142753;0.036347016013285015;0.04431971356657225;0.04535411910030381;0.028018530282137487;0.025254199807598316;0.016336677591964763;0.013298533887908413;0.0068487111481704225;0.016803174205216254;0.016803174205216254;0.016803174205216254;0.01098295287285573;0.031264569216012436;0.017741238047080662;0.0;0.0;0.01527015816094415;0.022813543613630378;0.06140937753970926;0.060919218054771095;0.024232470812270323;0.04813957713884894;0.03843441933707338;0.026953701056237348;0.0436681394926286;0.0;0.013499668297245106;0.010290813876020637
FINAGRO;0.01284651219638315;0.01769816370235627;0.052000286835022766;0.08842507063043246;0.033892780527296745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04228823992396658;0.028701214214963175;0.11056186331573171;0.0;0.07177074747706336;0.0;0.03381012480890479;0.02737281874080655;0.006606553491472254;0.0015663267944360573;0.05179408349668825;0.0;0.0;0.007692885790338116;0.019598828545506673;0.041369187055179696;0.009877358347840114;0.0;0.0;0.0;0.0;0.0;0.11042607177837346;0.0;0.0;0.0;0.03133045325714576;0.07025342464658224;0.10512816896773801;0.0;0.02498883545577196
BANCOLDEX;0.0026488666362740037;0.01836260394468535;0.043386856232086886;0.02494634082376326;0.030176979852489547;0.008518008538218777;0.0493466003202297;0.04891698183524737;0.022234050629416965;0.0;0.0;0.016131526029904975;0.03630167636758163;0.026389603057643585;0.086108983329976;0.0;0.05780989917409697;0.05956719606450314;0.030116680449387378;0.02542050550778724;0.010270998328403358;0.005109656562872179;0.010541181261042403;0.01106350476917477;0.0;0.01106350476917477;0.0011758383604923656;0.03563120443308842;0.012657131851160755;0.0;0.0;0.0;0.02127420369447596;0.0868426260677191;0.08600992002487959;0.0;0.0;0.0;0.028307698356322207;0.05670297441714995;0.03151484513030036;0.005451353180451155;0.0
